,A,B,C,D,E,F,freq5,freq4,freq3,freq2,freq1
0,0,1,1,1,1,1,0,3,2,9,1
1,1,0,1,1,1,1,0,7,15,11,6
2,1,1,0,1,1,1,0,8,11,10,0
3,1,1,1,0,1,1,0,2,1,0,0
4,1,1,1,1,0,1,2,12,53,37,4
5,1,1,1,1,1,0,0,2,5,2,0
6,1,1,1,1,0,0,1,7,14,1,0
7,1,1,1,0,1,0,0,5,22,11,4
8,1,1,1,0,0,1,0,5,12,0,0
9,1,1,0,1,1,0,1,3,4,0,0
10,1,1,0,1,0,1,44,394,1337,1940,207
11,1,1,0,0,1,1,0,0,1,0,0
12,1,0,1,1,1,0,7,16,77,43,9
13,1,0,1,1,0,1,2,35,104,62,9
14,1,0,1,0,1,1,4,22,59,44,14
15,1,0,0,1,1,1,0,3,10,2,0
16,0,1,1,1,1,0,3,13,39,19,1
17,0,1,1,1,0,1,0,6,7,8,1
18,0,1,1,0,1,1,1,14,27,15,3
19,0,1,0,1,1,1,5,24,55,33,4
20,0,0,1,1,1,1,0,1,6,8,1
21,1,0,1,0,1,0,34,220,774,1382,187
22,0,1,0,1,0,1,55,458,2057,2956,273
23,1,1,0,0,1,0,0,0,0,0,0
24,1,1,0,0,0,1,1,6,5,6,0
25,1,0,1,1,0,0,13,44,105,35,1
26,1,1,1,0,0,0,0,1,14,3,0
27,0,0,1,0,0,1,8,41,114,36,1
28,0,0,0,1,1,0,0,3,2,0,0
29,0,0,0,1,0,1,7,30,367,298,1
30,0,0,0,0,1,1,0,3,5,1,1
31,1,1,1,1,0,0,2,6,4,2,0
32,1,1,1,0,1,0,19,82,223,142,33
33,0,1,1,0,0,1,2,2,8,2,0
34,0,1,0,1,1,0,2,20,58,14,5
35,1,1,0,1,0,0,3,4,7,2,0
36,1,1,0,0,1,1,7,23,70,26,2
37,1,0,1,1,1,0,2,8,21,28,9
38,0,0,1,1,0,1,0,0,0,0,0
39,0,0,1,0,1,1,2,5,38,31,10
40,0,0,0,1,1,1,0,2,6,3,0
41,1,1,0,0,0,0,0,0,1,0,0
42,1,0,1,0,0,0,7,65,159,28,0
43,1,0,0,1,0,0,1,0,4,1,0
44,1,0,0,0,1,0,1,1,0,0,0
45,1,0,0,0,0,1,0,2,1,0,0
46,0,1,1,0,0,0,1,1,13,0,0
47,0,1,0,1,0,0,6,5,22,9,0
48,0,1,0,0,1,0,5,35,78,8,1
49,0,1,0,0,0,1,1,5,18,8,0
50,0,0,1,1,0,0,0,1,1,0,0
51,0,0,1,0,1,0,50,464,2189,3469,440
52,0,0,1,0,0,1,0,0,1,0,0
53,0,0,0,1,1,0,0,0,8,2,0
54,0,0,0,1,0,1,0,0,3,0,0
55,0,0,0,0,1,1,1,1,8,0,0
56,1,0,0,0,0,0,0,0,0,0,0
57,0,1,0,0,0,0,0,0,1,0,0
58,0,0,1,0,0,0,0,0,0,0,0
59,0,0,0,1,0,0,0,0,0,0,0
60,0,0,0,0,1,0,0,1,6,1,0
61,0,0,0,0,0,1,0,0,0,0,0
